Puppy
31*Rancagua
27*Calera
15*Viña del mar
40*Casablanca
DONACIONES
2*21/08/2025*12.345.678-9*María López*30*A+*987654321*31
3*21/08/2025*23.456.789-0*Pedro Ramírez*27*B-*912345678*31
4*21/08/2025*34.567.890-1*Carolina Torres*35*AB+*956789012*27
5*21/08/2025*45.678.901-2*Andrés Fuentes*40*O-*923456789*15
6*21/08/2025*56.789.012-3*Laura Muñoz*29*A-*978901234*40
7*21/08/2025*67.890.123-4*Felipe Herrera*32*B+*965432187*40
8*21/08/2025*78.901.234-5*Camila Rojas*26*O+*934567890*31
9*21/08/2025*89.012.345-6*Javier Soto*38*AB-*987123654*27
10*21/08/2025*90.123.456-7*Valentina Díaz*24*A+*976543210*27
11*21/08/2025*01.234.567-8*Ignacio Pérez*31*O-*945678123*31
12*21/08/2025*12.345.678-0*Daniela Vargas*28*B+*954321789*40
FIN
